LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.34572687293803595
Amygdala;DICE;STD;0.03830735314392841
Amygdala;HDRFDST;MEAN;28.46155987895267
Amygdala;HDRFDST;STD;2.3957481622223136
GreyMatter;DICE;MEAN;0.5585519605370006
GreyMatter;DICE;STD;0.007443950744732874
GreyMatter;HDRFDST;MEAN;20.88745621070627
GreyMatter;HDRFDST;STD;1.0070615898881654
Hippocampus;DICE;MEAN;0.24331639362695084
Hippocampus;DICE;STD;0.010654587532100697
Hippocampus;HDRFDST;MEAN;24.297928450600153
Hippocampus;HDRFDST;STD;0.9003738165426854
Thalamus;DICE;MEAN;0.6579247667188738
Thalamus;DICE;STD;0.018628454366772088
Thalamus;HDRFDST;MEAN;35.40311948585398
Thalamus;HDRFDST;STD;7.913225048635115
WhiteMatter;DICE;MEAN;0.6714682808942047
WhiteMatter;DICE;STD;0.02420910942912719
WhiteMatter;HDRFDST;MEAN;19.862756212230583
WhiteMatter;HDRFDST;STD;1.3678141882197807
