LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3770823911476283
Amygdala;DICE;STD;0.03763469555343452
Amygdala;HDRFDST;MEAN;32.49710787204931
Amygdala;HDRFDST;STD;2.537317471738705
GreyMatter;DICE;MEAN;0.5661879206023859
GreyMatter;DICE;STD;0.011510915338827523
GreyMatter;HDRFDST;MEAN;20.318136256676997
GreyMatter;HDRFDST;STD;1.0360207792838363
Hippocampus;DICE;MEAN;0.2841246070662781
Hippocampus;DICE;STD;0.014718578436631593
Hippocampus;HDRFDST;MEAN;37.19610679578397
Hippocampus;HDRFDST;STD;1.5651323383772107
Thalamus;DICE;MEAN;0.6665034251356399
Thalamus;DICE;STD;0.01513834343962162
Thalamus;HDRFDST;MEAN;15.859027452582492
Thalamus;HDRFDST;STD;11.899212085606122
WhiteMatter;DICE;MEAN;0.6202976014311892
WhiteMatter;DICE;STD;0.01984610695303795
WhiteMatter;HDRFDST;MEAN;22.759523123354423
WhiteMatter;HDRFDST;STD;1.845022275609504
