LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3516927683017716
Amygdala;DICE;STD;0.02909729768918196
Amygdala;HDRFDST;MEAN;29.190509029871322
Amygdala;HDRFDST;STD;2.239237052435721
GreyMatter;DICE;MEAN;0.5629998688491316
GreyMatter;DICE;STD;0.00749552323731702
GreyMatter;HDRFDST;MEAN;19.338092493094486
GreyMatter;HDRFDST;STD;1.2402333363213207
Hippocampus;DICE;MEAN;0.2563492999819916
Hippocampus;DICE;STD;0.011211815402290793
Hippocampus;HDRFDST;MEAN;23.7526263113242
Hippocampus;HDRFDST;STD;0.901522775413657
Thalamus;DICE;MEAN;0.6470165140954196
Thalamus;DICE;STD;0.01779764776214323
Thalamus;HDRFDST;MEAN;16.160916682270667
Thalamus;HDRFDST;STD;12.129500071672606
WhiteMatter;DICE;MEAN;0.6533376014409117
WhiteMatter;DICE;STD;0.0249521698765888
WhiteMatter;HDRFDST;MEAN;23.9090751256523
WhiteMatter;HDRFDST;STD;2.6937198510451124
