LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.353809779465464
Amygdala;DICE;STD;0.033802572146064
Amygdala;HDRFDST;MEAN;24.605730085687938
Amygdala;HDRFDST;STD;4.456236859758629
GreyMatter;DICE;MEAN;0.5485272967524019
GreyMatter;DICE;STD;0.006684879815099318
GreyMatter;HDRFDST;MEAN;21.250313672221953
GreyMatter;HDRFDST;STD;0.9078374481022914
Hippocampus;DICE;MEAN;0.22078568375939822
Hippocampus;DICE;STD;0.010844989469193005
Hippocampus;HDRFDST;MEAN;25.803114361424058
Hippocampus;HDRFDST;STD;0.8940297820941413
Thalamus;DICE;MEAN;0.6481183660396458
Thalamus;DICE;STD;0.01747180864656612
Thalamus;HDRFDST;MEAN;24.413773965061218
Thalamus;HDRFDST;STD;8.891998694494891
WhiteMatter;DICE;MEAN;0.6644813865309699
WhiteMatter;DICE;STD;0.025223483999635
WhiteMatter;HDRFDST;MEAN;22.787157591501007
WhiteMatter;HDRFDST;STD;1.7162310159468825
