LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0010672915590551847
Amygdala;DICE;STD;0.0002864990546632268
Amygdala;HDRFDST;MEAN;97.32218258807944
Amygdala;HDRFDST;STD;2.4275041282205834
GreyMatter;DICE;MEAN;0.6818916889485218
GreyMatter;DICE;STD;0.0011024951304032249
GreyMatter;HDRFDST;MEAN;20.71903841586684
GreyMatter;HDRFDST;STD;0.4705816845502522
Hippocampus;DICE;MEAN;0.02325267469653547
Hippocampus;DICE;STD;0.00036247220628266887
Hippocampus;HDRFDST;MEAN;90.91753441641262
Hippocampus;HDRFDST;STD;0.04399591372198586
Thalamus;DICE;MEAN;0.02652383125060746
Thalamus;DICE;STD;0.0011517686793277322
Thalamus;HDRFDST;MEAN;70.85436496226419
Thalamus;HDRFDST;STD;0.39870514703005
WhiteMatter;DICE;MEAN;0.7851420482845353
WhiteMatter;DICE;STD;0.010756797630223969
WhiteMatter;HDRFDST;MEAN;21.84533546479278
WhiteMatter;HDRFDST;STD;2.5062558589790633
