LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3206680446555923
Amygdala;DICE;STD;0.02947059981599914
Amygdala;HDRFDST;MEAN;17.999037773114555
Amygdala;HDRFDST;STD;2.436111500320833
GreyMatter;DICE;MEAN;0.3917197917055211
GreyMatter;DICE;STD;0.011507938636282156
GreyMatter;HDRFDST;MEAN;38.10730070985976
GreyMatter;HDRFDST;STD;0.9130348341232576
Hippocampus;DICE;MEAN;0.24919017344024258
Hippocampus;DICE;STD;0.016621835117313855
Hippocampus;HDRFDST;MEAN;27.033355565781157
Hippocampus;HDRFDST;STD;0.7731020980757549
Thalamus;DICE;MEAN;0.5638661952579379
Thalamus;DICE;STD;0.017804253412734884
Thalamus;HDRFDST;MEAN;39.72013509672715
Thalamus;HDRFDST;STD;2.6288529623666803
WhiteMatter;DICE;MEAN;0.4943013564202503
WhiteMatter;DICE;STD;0.022421736658992268
WhiteMatter;HDRFDST;MEAN;32.8535510660347
WhiteMatter;HDRFDST;STD;0.971690460717964
