LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;96.3452462395382
Amygdala;HDRFDST;STD;1.0457184337825112
GreyMatter;DICE;MEAN;0.6745836856632088
GreyMatter;DICE;STD;0.0005626829773620612
GreyMatter;HDRFDST;MEAN;20.756010766659333
GreyMatter;HDRFDST;STD;0.433609333757758
Hippocampus;DICE;MEAN;0.014902037144065735
Hippocampus;DICE;STD;0.0035008970300543334
Hippocampus;HDRFDST;MEAN;86.46833257744044
Hippocampus;HDRFDST;STD;0.8529134054244665
Thalamus;DICE;MEAN;0.05546871496657757
Thalamus;DICE;STD;0.0034319769236459408
Thalamus;HDRFDST;MEAN;71.10200101270802
Thalamus;HDRFDST;STD;0.07383758438896848
WhiteMatter;DICE;MEAN;0.8023763425361912
WhiteMatter;DICE;STD;0.002288652005972891
WhiteMatter;HDRFDST;MEAN;21.98311270856015
WhiteMatter;HDRFDST;STD;2.956815118119703
