LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0011576492642114166
Amygdala;DICE;STD;0.0002370508752585973
Amygdala;HDRFDST;MEAN;97.34729083129363
Amygdala;HDRFDST;STD;1.733484296881457
GreyMatter;DICE;MEAN;0.6646842728178954
GreyMatter;DICE;STD;0.0017638426531536022
GreyMatter;HDRFDST;MEAN;20.756010766659333
GreyMatter;HDRFDST;STD;0.433609333757758
Hippocampus;DICE;MEAN;0.022319437535822148
Hippocampus;DICE;STD;0.004048300760850158
Hippocampus;HDRFDST;MEAN;90.63475078733575
Hippocampus;HDRFDST;STD;0.5847646685139409
Thalamus;DICE;MEAN;0.11080130988995615
Thalamus;DICE;STD;0.015171540788776888
Thalamus;HDRFDST;MEAN;71.15820134962077
Thalamus;HDRFDST;STD;0.10188565565870533
WhiteMatter;DICE;MEAN;0.8060692063747956
WhiteMatter;DICE;STD;0.005782067661883272
WhiteMatter;HDRFDST;MEAN;21.688944457106146
WhiteMatter;HDRFDST;STD;2.662646866665698
