LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.410958904109589
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;66.85057965343307
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.7062130996621432
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.248456731316587
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.3903102625298329
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;40.47221268969612
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.6978032851771225
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;71.40728254176881
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.8045094597646574
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;17.72004514666935
WhiteMatter;HDRFDST;STD;0.0
