LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.44217363577395713
Amygdala;DICE;STD;0.041599598517223065
Amygdala;HDRFDST;MEAN;69.98655998531267
Amygdala;HDRFDST;STD;11.449079501087903
GreyMatter;DICE;MEAN;0.7028511236497684
GreyMatter;DICE;STD;0.008712185232780575
GreyMatter;HDRFDST;MEAN;19.947788389466773
GreyMatter;HDRFDST;STD;1.0419877010092624
Hippocampus;DICE;MEAN;0.36008375743129006
Hippocampus;DICE;STD;0.01244712080433551
Hippocampus;HDRFDST;MEAN;41.96890509022539
Hippocampus;HDRFDST;STD;5.2641243837559175
Thalamus;DICE;MEAN;0.7247220254472
Thalamus;DICE;STD;0.024931763963444355
Thalamus;HDRFDST;MEAN;47.14699741116985
Thalamus;HDRFDST;STD;4.578278618776242
WhiteMatter;DICE;MEAN;0.818818101722453
WhiteMatter;DICE;STD;0.018929176888076993
WhiteMatter;HDRFDST;MEAN;20.233436177474537
WhiteMatter;HDRFDST;STD;2.409991795020175
