LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4470072656554599
Amygdala;DICE;STD;0.042403425390111237
Amygdala;HDRFDST;MEAN;40.10380007109163
Amygdala;HDRFDST;STD;15.049425897950766
GreyMatter;DICE;MEAN;0.7103309393390373
GreyMatter;DICE;STD;0.008116725145888145
GreyMatter;HDRFDST;MEAN;20.400453079617
GreyMatter;HDRFDST;STD;0.9063741756829614
Hippocampus;DICE;MEAN;0.36093402824759224
Hippocampus;DICE;STD;0.012838321846907726
Hippocampus;HDRFDST;MEAN;60.14605526838034
Hippocampus;HDRFDST;STD;7.832754027348073
Thalamus;DICE;MEAN;0.7198489319398437
Thalamus;DICE;STD;0.023982455890483697
Thalamus;HDRFDST;MEAN;68.00458807563936
Thalamus;HDRFDST;STD;1.666133446818421
WhiteMatter;DICE;MEAN;0.818548282631373
WhiteMatter;DICE;STD;0.019006959762976186
WhiteMatter;HDRFDST;MEAN;20.945895722322796
WhiteMatter;HDRFDST;STD;3.0772475346613697
