LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.00011199596545971355
Amygdala;DICE;STD;0.00022457444759438816
Amygdala;HDRFDST;MEAN;81.90356472220013
Amygdala;HDRFDST;STD;10.81693513877075
GreyMatter;DICE;MEAN;0.6798057935559113
GreyMatter;DICE;STD;0.009899962122981287
GreyMatter;HDRFDST;MEAN;20.996508544106778
GreyMatter;HDRFDST;STD;0.9201244248748558
Hippocampus;DICE;MEAN;0.00743646744043216
Hippocampus;DICE;STD;0.002228154383201436
Hippocampus;HDRFDST;MEAN;86.0496105383886
Hippocampus;HDRFDST;STD;3.0272968456430402
Thalamus;DICE;MEAN;0.030439894993605353
Thalamus;DICE;STD;0.008430914517454955
Thalamus;HDRFDST;MEAN;71.20680356990803
Thalamus;HDRFDST;STD;1.2211164385649649
WhiteMatter;DICE;MEAN;0.7970821580617921
WhiteMatter;DICE;STD;0.01928623821454954
WhiteMatter;HDRFDST;MEAN;23.531954286220767
WhiteMatter;HDRFDST;STD;2.9235470701215105
