LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.32510967441924216
Amygdala;DICE;STD;0.033952990980416174
Amygdala;HDRFDST;MEAN;16.676357169049773
Amygdala;HDRFDST;STD;2.7566486120436724
GreyMatter;DICE;MEAN;0.3482126386276606
GreyMatter;DICE;STD;0.009342847996173896
GreyMatter;HDRFDST;MEAN;48.4098968877787
GreyMatter;HDRFDST;STD;1.3718175223529259
Hippocampus;DICE;MEAN;0.23730628938861204
Hippocampus;DICE;STD;0.017369607498188673
Hippocampus;HDRFDST;MEAN;31.810543280394235
Hippocampus;HDRFDST;STD;0.7676823602019038
Thalamus;DICE;MEAN;0.37049457589121326
Thalamus;DICE;STD;0.012406249745976426
Thalamus;HDRFDST;MEAN;44.94296305273885
Thalamus;HDRFDST;STD;1.2369608078477523
WhiteMatter;DICE;MEAN;0.45014461591561483
WhiteMatter;DICE;STD;0.023313189975053543
WhiteMatter;HDRFDST;MEAN;33.84990790721564
WhiteMatter;HDRFDST;STD;0.8852879040295201
