LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.44666345660056467
Amygdala;DICE;STD;0.04212438560493387
Amygdala;HDRFDST;MEAN;31.245344781405016
Amygdala;HDRFDST;STD;5.543322964714079
GreyMatter;DICE;MEAN;0.7101358606169097
GreyMatter;DICE;STD;0.008071767551056085
GreyMatter;HDRFDST;MEAN;20.400453079617
GreyMatter;HDRFDST;STD;0.9063741756829614
Hippocampus;DICE;MEAN;0.3604320572684383
Hippocampus;DICE;STD;0.012785086988745269
Hippocampus;HDRFDST;MEAN;59.88492180625963
Hippocampus;HDRFDST;STD;10.044707076772815
Thalamus;DICE;MEAN;0.7186982132952331
Thalamus;DICE;STD;0.024195060360260486
Thalamus;HDRFDST;MEAN;69.29040073824004
Thalamus;HDRFDST;STD;2.177238051777101
WhiteMatter;DICE;MEAN;0.818911342386302
WhiteMatter;DICE;STD;0.01891589917324124
WhiteMatter;HDRFDST;MEAN;22.963160440475924
WhiteMatter;HDRFDST;STD;2.8623875672175574
