LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4441581038432602
Amygdala;DICE;STD;0.042097222261327005
Amygdala;HDRFDST;MEAN;33.03857559794464
Amygdala;HDRFDST;STD;8.506028594996447
GreyMatter;DICE;MEAN;0.70886423261263
GreyMatter;DICE;STD;0.008727089023772788
GreyMatter;HDRFDST;MEAN;20.304270273446637
GreyMatter;HDRFDST;STD;0.797877598903026
Hippocampus;DICE;MEAN;0.36153912984347797
Hippocampus;DICE;STD;0.011413683392537004
Hippocampus;HDRFDST;MEAN;65.2067766607242
Hippocampus;HDRFDST;STD;6.31476662422563
Thalamus;DICE;MEAN;0.7247716150245992
Thalamus;DICE;STD;0.024626203160287505
Thalamus;HDRFDST;MEAN;64.13243219109866
Thalamus;HDRFDST;STD;5.189522256829895
WhiteMatter;DICE;MEAN;0.818086359571199
WhiteMatter;DICE;STD;0.01872020495045756
WhiteMatter;HDRFDST;MEAN;22.68429171541205
WhiteMatter;HDRFDST;STD;2.8675615721529115
