LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4313190622636995
Amygdala;DICE;STD;0.03506899071275434
Amygdala;HDRFDST;MEAN;21.444254787143695
Amygdala;HDRFDST;STD;0.9186602332008381
GreyMatter;DICE;MEAN;0.7077678965711371
GreyMatter;DICE;STD;0.007845100898496585
GreyMatter;HDRFDST;MEAN;20.8192279214853
GreyMatter;HDRFDST;STD;0.9796676749015268
Hippocampus;DICE;MEAN;0.37135417849007835
Hippocampus;DICE;STD;0.014551692998833937
Hippocampus;HDRFDST;MEAN;75.99252919478553
Hippocampus;HDRFDST;STD;7.1158630242345815
Thalamus;DICE;MEAN;0.6965931230887181
Thalamus;DICE;STD;0.025846468811228682
Thalamus;HDRFDST;MEAN;70.22340473163874
Thalamus;HDRFDST;STD;1.8637134695172042
WhiteMatter;DICE;MEAN;0.8022456410885221
WhiteMatter;DICE;STD;0.01984824224199633
WhiteMatter;HDRFDST;MEAN;20.929793899504695
WhiteMatter;HDRFDST;STD;2.5186757084341234
