LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.44011284944857654
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;20.904544960366874
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.7021387343584543
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.248456731316587
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.3899797523190658
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;79.60527620704548
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.7107033094294241
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;70.2922470831599
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.8068914659445025
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;18.439088914585774
WhiteMatter;HDRFDST;STD;0.0
